Cusec,Cusec,Censo Total,Votos Totales,Votos Blancos,Votos Nulos,Votos Válidos,Primera fuerza,% PF,Segunda fuerza,% SF,Tercera fuerza,% TF,% PP,% PSOE,% MÁS MADRID,% Cs,% Podemos,% VOX,Izquierda,Derecha,Bloque Gana,PACMA,MÁS MADRID,PSOE,PH,ULEG,Cs,FE de las JONS,PCAS-TC,PUM+J,P-LIB,PP,PCTE,VOX,UPYD,PODEMOS-IU
2800501014,2800501014,930,633,1,3,630,PP,31.43,PSOE,23.65,Cs,19.21,31.43,23.65,7.94,19.21,5.56,10.32,37.15,60.96,Derecha,8,50,149,0,0,121,3,0,0,0,198,0,65,0,35
2800501015,2800501015,1573,1094,4,9,1085,PSOE,27.19,PP,23.23,Cs,19.54,23.23,27.19,13.18,19.54,5.9,9.03,46.27,51.8,Derecha,9,143,295,0,0,212,0,1,1,0,252,5,98,1,64
2800501016,2800501016,793,508,3,3,505,PSOE,31.49,Cs,19.41,PP,18.81,18.81,31.49,16.04,19.41,5.35,6.73,52.88,44.95,Izquierda,4,81,159,0,0,98,0,0,0,0,95,3,34,1,27
2800501017,2800501017,607,378,1,6,372,PSOE,31.99,PP,26.34,Cs,18.28,26.34,31.99,10.75,18.28,5.11,5.65,47.85,50.27,Derecha,5,40,119,0,0,68,0,0,0,0,98,0,21,1,19
2800501018,2800501018,766,474,2,6,468,PSOE,30.34,PP,21.58,Cs,17.09,21.58,30.34,11.32,17.09,8.12,9.19,49.78,47.86,Izquierda,4,53,142,0,1,80,0,0,0,0,101,3,43,1,38
2800501020,2800501020,948,568,1,4,564,PSOE,34.93,PP,19.86,Cs,18.09,19.86,34.93,10.28,18.09,5.85,9.04,51.06,46.99,Izquierda,5,58,197,0,0,102,2,0,1,0,112,0,51,2,33
2800501021,2800501021,1099,798,0,2,796,PSOE,31.03,PP,27.26,Cs,18.97,27.26,31.03,8.04,18.97,4.4,9.3,43.47,55.53,Derecha,4,64,247,0,0,151,1,0,0,1,217,0,74,2,35
2800501022,2800501022,1219,794,3,5,789,PSOE,29.28,PP,27.5,Cs,18.5,27.5,29.28,8.62,18.5,3.8,11.03,41.7,57.03,Derecha,3,68,231,3,0,146,1,0,0,0,217,0,87,0,30
2800501023,2800501023,920,684,8,2,682,PP,35.48,Cs,19.21,PSOE,16.86,35.48,16.86,8.8,19.21,2.93,14.52,28.59,69.21,Derecha,4,60,115,1,0,131,1,0,0,1,242,0,99,0,20
2800501024,2800501024,1028,766,6,3,763,PP,33.55,PSOE,24.64,Cs,18.09,33.55,24.64,8.52,18.09,3.41,9.31,36.57,60.95,Derecha,10,65,188,0,0,138,0,0,1,2,256,0,71,0,26
2800502001,2800502001,897,502,1,2,500,PSOE,41.8,PP,20.4,Cs,13.8,20.4,41.8,8.8,13.8,5.6,7.4,56.2,41.6,Izquierda,4,44,209,0,0,69,0,1,0,0,102,1,37,4,28
