cusec;Codmun;Municipio;Provincia;RMH 2018;RMP 2018
2807901117;28079;Madrid;Madrid;33962;16688
2807901118;28079;Madrid;Madrid;30820;15937
2807901119;28079;Madrid;Madrid;34087;17244
2807901120;28079;Madrid;Madrid;34174;17110
2807901121;28079;Madrid;Madrid;34434;17510
2807901123;28079;Madrid;Madrid;41485;20833
2807901124;28079;Madrid;Madrid;39732;18897
2807902001;28079;Madrid;Madrid;35428;18429
2807902002;28079;Madrid;Madrid;34157;16724
2807902003;28079;Madrid;Madrid;46113;19088
2807902004;28079;Madrid;Madrid;46047;17429
2807902005;28079;Madrid;Madrid;38553;16550
2807902006;28079;Madrid;Madrid;45115;18503
2807902007;28079;Madrid;Madrid;46612;16933
2807902008;28079;Madrid;Madrid;37878;17337
2807902009;28079;Madrid;Madrid;53462;22283
2807902010;28079;Madrid;Madrid;40894;16961
2807902011;28079;Madrid;Madrid;51783;19764
2807902013;28079;Madrid;Madrid;42576;19286
2807902014;28079;Madrid;Madrid;38934;17716
2807902015;28079;Madrid;Madrid;41245;16246
2807902016;28079;Madrid;Madrid;53819;21902
2807902017;28079;Madrid;Madrid;51152;19888
2807902018;28079;Madrid;Madrid;56611;22554
2807902019;28079;Madrid;Madrid;58530;23955
2807902020;28079;Madrid;Madrid;48006;20848
2807902021;28079;Madrid;Madrid;35828;16720
2807902022;28079;Madrid;Madrid;31936;15337
2807902023;28079;Madrid;Madrid;35751;16710
2807902024;28079;Madrid;Madrid;38349;17795
2807902025;28079;Madrid;Madrid;36240;14666
2807902026;28079;Madrid;Madrid;36313;17936
2807902027;28079;Madrid;Madrid;42014;18575
2807902028;28079;Madrid;Madrid;24708;13203
2807902029;28079;Madrid;Madrid;27094;12964
2807902030;28079;Madrid;Madrid;40704;17233
2807902031;28079;Madrid;Madrid;49212;20048
2807902032;28079;Madrid;Madrid;41663;18074
2807902033;28079;Madrid;Madrid;40790;17938
2807902034;28079;Madrid;Madrid;41700;16824
2807902035;28079;Madrid;Madrid;35906;15283
2807902036;28079;Madrid;Madrid;36194;15721
2807902037;28079;Madrid;Madrid;41440;17625
2807902038;28079;Madrid;Madrid;34129;15091
2807902039;28079;Madrid;Madrid;36872;17067
2807902040;28079;Madrid;Madrid;36125;15988
2807902041;28079;Madrid;Madrid;31910;14816
2807902042;28079;Madrid;Madrid;36729;15399
2807902043;28079;Madrid;Madrid;33375;14455
2807902044;28079;Madrid;Madrid;35633;13582
2807902045;28079;Madrid;Madrid;35905;13830
2807902046;28079;Madrid;Madrid;26021;12024
2807902047;28079;Madrid;Madrid;26086;10798
2807902048;28079;Madrid;Madrid;33494;13802
2807902049;28079;Madrid;Madrid;55209;19405
