Cusec;CodMun;Municipio;Provincia;RM por persona 2017_custom;% ingresos salario
2807908057;28079;Madrid;Madrid;19997;51,53299315
2906702048;29067;Málaga;Málaga;19997;55,46877878
2807906051;28079;Madrid;Madrid;19996;58,49740117
3803805001;38038;Santa Cruz de Tenerife;Santa Cruz de Tenerife;19995;41,95045851
2807908036;28079;Madrid;Madrid;19992;55,52265087
4109111009;41091;Sevilla;Sevilla;19990;39,99718627
2808002011;28080;Majadahonda;Madrid;19989;57,86052913
2807904099;28079;Madrid;Madrid;19988;57,72232095
1202801003;12028;Benicasim/Benicàssim;Castellón/Castelló;19985;55,08113363
0704002003;07040;Palma ;Balears, Illes;19977;51,95183966
4802006037;48020;Bilbao;Bizkaia;19977;
0905905036;09059;Burgos;Burgos;19975;46,76578655
2818101003;28181;Villaviciosa de Odón;Madrid;19972;55,969455
4802006036;48020;Bilbao;Bizkaia;19972;
0905908004;09059;Burgos;Burgos;19971;65,98009188
0801902094;08019;Barcelona;Barcelona;19958;54,51736546
2807901068;28079;Madrid;Madrid;19951;55,03743397
0801902062;08019;Barcelona;Barcelona;19945;60,39934708
0801904011;08019;Barcelona;Barcelona;19941;51,48118201
2807907059;28079;Madrid;Madrid;19938;67,35768968
2808002009;28080;Majadahonda;Madrid;19935;62,21252372
0822101009;08221;Sant Just Desvern;Barcelona;19934;67,57464829
2810401005;28104;Paracuellos de Jarama;Madrid;19930;83,31182143
2807903042;28079;Madrid;Madrid;19928;58,07037637
4802006006;48020;Bilbao;Bizkaia;19927;
1402106015;14021;Córdoba;Córdoba;19926;34,33801423
2813401043;28134;San Sebastián de los Reyes;Madrid;19924;80,94992256
4802005001;48020;Bilbao;Bizkaia;19924;
5029704056;50297;Zaragoza;Zaragoza;19919;
0822101006;08221;Sant Just Desvern;Barcelona;19917;64,6146478
3803801001;38038;Santa Cruz de Tenerife;Santa Cruz de Tenerife;19917;44,92377931
1003702010;10037;Cáceres;Cáceres;19913;59,32399138
4109105002;41091;Sevilla;Sevilla;19910;47,88584741
2808002017;28080;Majadahonda;Madrid;19909;63,30893683
0827002009;08270;Sitges;Barcelona;19906;69,99926161
2006902009;20069;Donostia/San Sebastián;Gipuzkoa;19896;
2807903086;28079;Madrid;Madrid;19890;57,94783276
0801906042;08019;Barcelona;Barcelona;19886;62,84833214
4802006031;48020;Bilbao;Bizkaia;19880;
5029702051;50297;Zaragoza;Zaragoza;19880;
2006903032;20069;Donostia/San Sebastián;Gipuzkoa;19877;
4109111015;41091;Sevilla;Sevilla;19874;47,41585361
3501602003;35016;Palmas de Gran Canaria, Las;Palmas, Las;19871;48,06909789
2807908038;28079;Madrid;Madrid;19869;48,25820569
0704002016;07040;Palma ;Balears, Illes;19866;56,13737075
4613504001;46135;Godella;Valencia/València;19864;59,26943245
0819001001;08190;Saldes;Barcelona;19863;42,8015858
2807901090;28079;Madrid;Madrid;19857;67,70139846
2807914010;28079;Madrid;Madrid;19856;66,22957354
1507805007;15078;Santiago de Compostela;Coruña, A;19845;40,73078379
2807907028;28079;Madrid;Madrid;19843;53,86796274
2807907113;28079;Madrid;Madrid;19840;60,2479659
3003004051;30030;Murcia;Murcia;19840;64,7254258
4625012045;46250;València;Valencia/València;19839;75,86742046
0801902058;08019;Barcelona;Barcelona;19826;54,38665051
2807904087;28079;Madrid;Madrid;19825;66,62039975
2812701045;28127;Rozas de Madrid, Las;Madrid;19824;79,69259075
2807904065;28079;Madrid;Madrid;19821;61,71984467
3003002020;30030;Murcia;Murcia;19818;45,85179067
2807907099;28079;Madrid;Madrid;19816;66,57958199
